Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,0.970,10,2.387E-4,2.303,-8.340
10,1,20,1.044,20,2.984E-5,2.996,-10.420
20,1,30,1.030,30,8.842E-6,3.401,-11.636
30,1,40,0.993,40,3.730E-6,3.689,-12.499
40,1,50,0.965,50,1.910E-6,3.912,-13.168
50,1,60,0.959,60,1.105E-6,4.094,-13.715
60,1,70,0.973,70,6.960E-7,4.248,-14.178
70,1,80,1.001,80,4.663E-7,4.382,-14.578
80,1,90,1.029,90,3.275E-7,4.500,-14.932
90,1,100,1.049,100,2.387E-7,4.605,-15.248
100,1,110,1.053,110,1.794E-7,4.700,-15.534
110,1,120,1.039,120,1.382E-7,4.787,-15.795
120,1,130,1.009,130,1.087E-7,4.868,-16.035
130,1,140,0.970,140,8.700E-8,4.942,-16.257
140,1,150,0.931,150,7.074E-8,5.011,-16.464
150,1,160,0.905,160,5.828E-8,5.075,-16.658
160,1,170,0.903,170,4.859E-8,5.136,-16.840
170,1,180,0.937,180,4.093E-8,5.193,-17.011
180,1,190,1.015,190,3.481E-8,5.247,-17.173
190,1,200,1.140,200,2.984E-8,5.298,-17.327
200,1,210,1.308,210,2.578E-8,5.347,-17.474
210,1,220,1.512,220,2.242E-8,5.394,-17.613
220,1,230,1.733,230,3.924E-8,5.438,-17.054
230,2,240,1.949,240,5.181E-8,5.481,-16.776
240,3,250,2.132,250,3.056E-8,5.521,-17.304
250,2,260,2.250,260,2.717E-8,5.561,-17.421
260,2,270,2.274,270,2.426E-8,5.598,-17.535
270,2,280,2.179,280,2.175E-8,5.635,-17.644
280,2,290,1.955,290,1.958E-8,5.670,-17.749
290,2,300,1.610,300,1.768E-8,5.704,-17.851
300,2,310,1.184,310,8.014E-9,5.737,-18.642
310,1,NaN,NaN,NaN,NaN,NaN,NaN
