Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.092,10,2.387E-4,2.303,-8.340
10,1,20,0.822,20,2.984E-5,2.996,-10.420
20,1,30,0.934,30,8.842E-6,3.401,-11.636
30,1,40,1.106,40,3.730E-6,3.689,-12.499
40,1,50,1.174,50,1.910E-6,3.912,-13.168
50,1,60,1.104,60,1.105E-6,4.094,-13.715
60,1,70,0.945,70,6.960E-7,4.248,-14.178
70,1,80,0.790,80,4.663E-7,4.382,-14.578
80,1,90,0.737,90,3.275E-7,4.500,-14.932
90,1,100,0.855,100,2.387E-7,4.605,-15.248
100,1,110,1.170,110,1.794E-7,4.700,-15.534
110,1,120,1.656,120,1.382E-7,4.787,-15.795
120,1,130,2.238,130,2.173E-7,4.868,-15.342
130,2,140,2.813,140,2.610E-7,4.942,-15.159
140,3,150,3.274,150,2.829E-7,5.011,-15.078
150,4,160,3.536,160,2.331E-7,5.075,-15.272
160,4,170,3.563,170,1.458E-7,5.136,-15.741
170,3,180,3.390,180,1.228E-7,5.193,-15.913
180,3,190,3.112,190,1.044E-7,5.247,-16.075
190,3,200,2.868,200,8.952E-8,5.298,-16.229
200,3,210,2.763,210,7.733E-8,5.347,-16.375
210,3,220,2.750,220,6.726E-8,5.394,-16.515
220,3,230,2.446,230,3.924E-8,5.438,-17.054
230,2,240,0.860,240,1.727E-8,5.481,-17.874
240,1,NaN,NaN,NaN,NaN,NaN,NaN
