Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,0.976,10,2.387E-4,2.303,-8.340
10,1,20,1.066,20,2.984E-5,2.996,-10.420
20,1,30,0.990,30,8.842E-6,3.401,-11.636
30,1,40,0.944,40,3.730E-6,3.689,-12.499
40,1,50,0.964,50,1.910E-6,3.912,-13.168
50,1,60,1.017,60,1.105E-6,4.094,-13.715
60,1,70,1.058,70,6.960E-7,4.248,-14.178
70,1,80,1.059,80,4.663E-7,4.382,-14.578
80,1,90,1.017,90,3.275E-7,4.500,-14.932
90,1,100,0.954,100,2.387E-7,4.605,-15.248
100,1,110,0.906,110,1.794E-7,4.700,-15.534
110,1,120,0.909,120,1.382E-7,4.787,-15.795
120,1,130,0.989,130,1.087E-7,4.868,-16.035
130,1,140,1.151,140,8.700E-8,4.942,-16.257
140,1,150,1.378,150,7.074E-8,5.011,-16.464
150,1,160,1.632,160,1.166E-7,5.075,-15.965
160,2,170,1.865,170,9.718E-8,5.136,-16.147
170,2,180,2.029,180,8.187E-8,5.193,-16.318
180,2,190,2.096,190,6.961E-8,5.247,-16.480
190,2,200,2.065,200,5.968E-8,5.298,-16.634
200,2,210,1.977,210,5.156E-8,5.347,-16.781
210,2,220,1.914,220,4.484E-8,5.394,-16.920
220,2,230,1.976,230,3.924E-8,5.438,-17.054
230,2,240,2.244,240,3.454E-8,5.481,-17.181
240,2,250,2.707,250,4.584E-8,5.521,-16.898
250,3,260,3.147,260,4.075E-8,5.561,-17.016
260,3,270,2.974,270,3.639E-8,5.598,-17.129
270,3,280,0.999,280,1.088E-8,5.635,-18.337
280,1,NaN,NaN,NaN,NaN,NaN,NaN
