Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.043,10,2.387E-4,2.303,-8.340
10,1,20,0.902,20,2.984E-5,2.996,-10.420
20,1,30,0.986,30,8.842E-6,3.401,-11.636
30,1,40,1.066,40,3.730E-6,3.689,-12.499
40,1,50,1.077,50,1.910E-6,3.912,-13.168
50,1,60,1.029,60,1.105E-6,4.094,-13.715
60,1,70,0.965,70,6.960E-7,4.248,-14.178
70,1,80,0.921,80,4.663E-7,4.382,-14.578
80,1,90,0.919,90,3.275E-7,4.500,-14.932
90,1,100,0.957,100,2.387E-7,4.605,-15.248
100,1,110,1.017,110,1.794E-7,4.700,-15.534
110,1,120,1.075,120,1.382E-7,4.787,-15.795
120,1,130,1.106,130,1.087E-7,4.868,-16.035
130,1,140,1.093,140,8.700E-8,4.942,-16.257
140,1,150,1.037,150,7.074E-8,5.011,-16.464
150,1,160,0.952,160,5.828E-8,5.075,-16.658
160,1,170,0.870,170,4.859E-8,5.136,-16.840
170,1,180,0.828,180,4.093E-8,5.193,-17.011
180,1,190,0.864,190,3.481E-8,5.247,-17.173
190,1,200,1.003,200,2.984E-8,5.298,-17.327
200,1,210,1.246,210,2.578E-8,5.347,-17.474
210,1,220,1.564,220,2.242E-8,5.394,-17.613
220,1,230,1.897,230,3.924E-8,5.438,-17.054
230,2,240,2.162,240,5.181E-8,5.481,-16.776
240,3,250,2.274,250,3.056E-8,5.521,-17.304
250,2,260,2.194,260,2.717E-8,5.561,-17.421
260,2,270,1.994,270,2.426E-8,5.598,-17.535
270,2,280,1.958,280,2.175E-8,5.635,-17.644
280,2,NaN,NaN,NaN,NaN,NaN,NaN
