Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,3.947,10,9.549E-4,2.303,-6.954
10,4,20,3.528,20,8.952E-5,2.996,-9.321
20,3,30,2.698,30,3.537E-5,3.401,-10.250
30,4,40,1.885,40,3.730E-6,3.689,-12.499
40,1,50,1.281,50,1.910E-6,3.912,-13.168
50,1,60,0.931,60,1.105E-6,4.094,-13.715
60,1,70,0.800,70,6.960E-7,4.248,-14.178
70,1,80,0.818,80,4.663E-7,4.382,-14.578
80,1,90,0.910,90,3.275E-7,4.500,-14.932
90,1,100,1.014,100,2.387E-7,4.605,-15.248
100,1,110,1.088,110,1.794E-7,4.700,-15.534
110,1,120,1.114,120,1.382E-7,4.787,-15.795
120,1,130,1.094,130,1.087E-7,4.868,-16.035
130,1,140,1.044,140,8.700E-8,4.942,-16.257
140,1,150,0.984,150,7.074E-8,5.011,-16.464
150,1,160,0.936,160,5.828E-8,5.075,-16.658
160,1,170,0.915,170,4.859E-8,5.136,-16.840
170,1,180,0.926,180,4.093E-8,5.193,-17.011
180,1,190,0.965,190,3.481E-8,5.247,-17.173
190,1,200,1.016,200,2.984E-8,5.298,-17.327
200,1,210,1.060,210,2.578E-8,5.347,-17.474
210,1,220,1.078,220,2.242E-8,5.394,-17.613
220,1,230,1.059,230,1.962E-8,5.438,-17.747
230,1,240,1.004,240,1.727E-8,5.481,-17.874
240,1,250,0.937,250,1.528E-8,5.521,-17.997
250,1,260,0.904,260,1.358E-8,5.561,-18.114
260,1,270,0.971,270,1.213E-8,5.598,-18.228
270,1,280,1.215,280,1.088E-8,5.635,-18.337
280,1,290,1.704,290,1.958E-8,5.670,-17.749
290,2,300,2.465,300,1.768E-8,5.704,-17.851
300,2,310,3.435,310,3.205E-8,5.737,-17.256
310,4,320,4.393,320,2.914E-8,5.768,-17.351
320,4,330,4.866,330,3.322E-8,5.799,-17.220
330,5,340,4.015,340,2.430E-8,5.829,-17.533
340,4,NaN,NaN,NaN,NaN,NaN,NaN
